,Date,Total Incoming_cus,Total Answered_cus,Number of Cases Solved_cus,Productivity_cus,CSAT_cus,Total Incoming_sell,Total Answered_sell,Number of Cases Solved_sell,Productivity_sell,CSAT_sell,dof,Day
0,2019-03-01,1376,1171,1157,9.76,0.8696,608,529,433,3.206060606060606,0.9104477611940298,4,Friday
1,2019-03-02,1013,821,831,10.95,0.913,455,393,256,5.24,0.9473684210526315,5,Saturday
2,2019-03-03,0,0,95,0.0,0.6667,0,0,16,0.0,1.0,6,Sunday
3,2019-03-04,1783,1545,1473,9.81,0.9259,815,752,653,4.177777777777778,0.8526315789473684,0,Monday
4,2019-03-05,1584,1426,1275,9.05,0.8987,613,593,568,3.2944444444444443,0.9367088607594937,1,Tuesday
5,2019-03-06,1703,1477,1413,10.36,0.9136,697,604,542,3.3555555555555556,0.9411764705882353,2,Wednesday
6,2019-03-07,1625,1465,1410,10.85,0.9277,579,560,508,3.246376811594203,0.9361702127659575,3,Thursday
7,2019-03-08,1464,1341,1565,9.93,0.8986,627,606,543,3.5130434782608697,0.9242424242424242,4,Friday
8,2019-03-09,1022,933,814,11.31,0.8868,441,358,48,1.988888888888889,1.0,5,Saturday
9,2019-03-10,0,0,104,0.0,0.8333,0,0,16,0.0,0.3333333333333333,6,Sunday
10,2019-03-11,1972,1517,1226,8.79,0.8542,895,689,608,3.827777777777778,0.922077922077922,0,Monday
11,2019-03-12,1573,1431,1217,9.54,0.9538,803,609,576,3.5304347826086957,0.9285714285714286,1,Tuesday
12,2019-03-13,1603,1366,1247,9.59,0.8302,903,706,735,4.092753623188406,0.9058823529411765,2,Wednesday
13,2019-03-14,1438,1370,1299,10.15,0.8511,705,572,581,3.315942028985507,0.9152542372881356,3,Thursday
14,2019-03-15,1330,1268,1166,9.95,0.9385,699,644,627,3.903030303030303,0.8840579710144928,4,Friday
15,2019-03-16,862,838,840,9.31,0.913,370,337,265,4.084848484848485,0.9117647058823529,5,Saturday
16,2019-03-17,0,0,60,0.0,0.3333,0,0,26,0.0,1.0,6,Sunday
17,2019-03-18,1662,1542,1411,8.94,0.9077,923,740,700,3.9466666666666668,0.9032258064516129,0,Monday
18,2019-03-19,1509,1454,1312,9.69,0.9403,742,686,639,3.6586666666666665,0.875,1,Tuesday
19,2019-03-20,1437,1386,1293,8.8,0.9853,771,688,687,3.6693333333333333,0.9452054794520548,2,Wednesday
20,2019-03-21,1489,1422,1320,7.58,0.8545,758,707,701,3.9277777777777776,0.8987341772151899,3,Thursday
21,2019-03-22,1402,1320,1238,7.04,0.8507,787,642,637,3.7217391304347824,0.8947368421052632,4,Friday
22,2019-03-23,1018,908,853,9.31,0.902,373,344,332,4.16969696969697,0.9285714285714286,5,Saturday
23,2019-03-24,0,0,84,0.0,0.6667,0,0,22,0.0,1.0,6,Sunday
24,2019-03-25,1626,1540,1504,7.6,0.8438,856,789,678,4.208,0.8831168831168831,0,Monday
25,2019-03-26,1608,1540,1473,7.9,0.942,875,686,639,3.9768115942028985,0.8695652173913043,1,Tuesday
26,2019-03-27,3073,1870,1711,7.79,0.9239,890,800,862,4.444444444444445,0.9117647058823529,2,Wednesday
27,2019-03-28,2581,1736,1670,8.27,0.8025,827,736,773,4.266666666666667,0.8831168831168831,3,Thursday
28,2019-03-29,2248,1745,1619,8.31,0.8571,819,765,729,4.636363636363637,0.971830985915493,4,Friday
29,2019-03-30,1575,1302,1222,10.21,0.881,434,431,434,2.4985507246376812,0.825,5,Saturday
30,2019-03-31,0,0,89,0.0,0.5,0,0,28,0.0,0.875,6,Sunday
