,dof_c_s,Case Created by hrs,Case Number
0,Friday,8,19
1,Friday,9,50
2,Friday,10,77
3,Friday,11,66
4,Friday,12,45
5,Friday,13,48
6,Friday,14,55
7,Friday,15,42
8,Friday,16,62
9,Friday,17,67
10,Friday,18,31
11,Friday,19,1
12,Friday,20,1
13,Friday,21,5
14,Friday,22,3
15,Monday,8,11
16,Monday,9,89
17,Monday,10,85
18,Monday,11,77
19,Monday,12,96
20,Monday,13,62
21,Monday,14,69
22,Monday,15,97
23,Monday,16,112
24,Monday,17,120
25,Monday,18,87
26,Monday,19,22
27,Monday,20,4
28,Monday,22,1
29,Saturday,7,1
30,Saturday,8,6
31,Saturday,9,25
32,Saturday,10,29
33,Saturday,11,39
34,Saturday,12,31
35,Saturday,13,27
36,Saturday,14,35
37,Saturday,15,46
38,Saturday,16,43
39,Saturday,17,46
40,Saturday,18,19
41,Saturday,21,1
42,Sunday,8,3
43,Sunday,9,13
44,Sunday,10,17
45,Sunday,11,13
46,Sunday,12,11
47,Sunday,13,6
48,Sunday,14,15
49,Sunday,15,4
50,Sunday,16,10
51,Sunday,17,4
52,Sunday,19,1
53,Thursday,8,9
54,Thursday,9,66
55,Thursday,10,75
56,Thursday,11,79
57,Thursday,12,70
58,Thursday,13,50
59,Thursday,14,63
60,Thursday,15,72
61,Thursday,16,77
62,Thursday,17,103
63,Thursday,18,51
64,Thursday,19,4
65,Thursday,20,3
66,Thursday,22,1
67,Thursday,23,1
68,Tuesday,6,1
69,Tuesday,8,7
70,Tuesday,9,79
71,Tuesday,10,90
72,Tuesday,11,70
73,Tuesday,12,77
74,Tuesday,13,59
75,Tuesday,14,85
76,Tuesday,15,85
77,Tuesday,16,70
78,Tuesday,17,121
79,Tuesday,18,57
80,Tuesday,19,6
81,Tuesday,20,1
82,Tuesday,21,1
83,Tuesday,22,1
84,Wenesday,1,1
85,Wenesday,8,6
86,Wenesday,9,66
87,Wenesday,10,78
88,Wenesday,11,52
89,Wenesday,12,51
90,Wenesday,13,42
91,Wenesday,14,70
92,Wenesday,15,77
93,Wenesday,16,76
94,Wenesday,17,114
95,Wenesday,18,46
96,Wenesday,19,7
97,Wenesday,23,2
98,Wenesday,24,1
