date_c,Chat,Inbound Call,Inbound Email,Outbound Email,Web Form,All
2018-06-07,0,0,0,0,1,1
2018-06-12,0,1,0,0,0,1
2018-06-13,0,1,0,0,1,2
2018-06-15,0,0,0,0,2,2
2018-06-16,0,0,0,0,1,1
2018-06-17,0,0,1,0,0,1
2018-06-18,0,1,0,0,4,5
2018-06-19,0,0,0,0,2,2
2018-06-20,0,0,0,0,3,3
2018-06-21,0,0,1,0,1,2
2018-06-22,0,0,0,0,2,2
2018-06-23,0,0,0,0,1,1
2018-06-25,0,1,0,1,9,11
2018-06-26,3,3,1,0,7,14
2018-06-27,7,5,0,2,15,29
2018-06-28,4,8,2,0,63,77
2018-06-29,7,8,4,0,40,59
2018-06-30,5,1,1,3,24,34
2018-07-01,0,0,0,0,20,20
2018-07-02,76,54,5,0,67,202
2018-07-03,71,43,4,3,53,174
2018-07-04,78,32,2,6,25,143
2018-07-05,66,54,7,3,39,169
2018-07-06,62,39,9,3,36,149
2018-07-07,43,9,1,1,25,79
2018-07-08,0,0,3,0,21,24
2018-07-09,67,49,8,1,40,165
2018-07-10,56,45,4,4,43,152
2018-07-11,64,53,4,5,39,165
2018-07-12,69,36,1,3,45,154
2018-07-13,53,46,3,4,34,140
2018-07-14,41,19,2,0,34,96
2018-07-15,0,0,1,0,19,20
2018-07-16,104,70,8,5,49,236
2018-07-17,85,50,3,6,57,201
2018-07-18,73,56,5,2,44,180
2018-07-19,67,65,5,3,46,186
2018-07-20,64,47,2,1,38,152
2018-07-21,53,21,4,1,19,98
2018-07-22,0,1,1,0,14,16
2018-07-23,79,81,6,5,56,227
2018-07-24,69,66,1,2,35,173
2018-07-25,60,66,3,0,38,167
2018-07-26,63,46,3,1,22,135
2018-07-27,33,18,4,2,11,68
2018-07-28,21,4,1,1,12,39
2018-07-29,1,0,3,0,12,16
2018-07-30,45,17,0,1,23,86
2018-07-31,37,34,3,0,19,93
All,1626,1150,116,69,1211,4172
