,Total Incoming_cus,Total Answered_cus,Number of Cases Solved_cus,Productivity_cus,CSAT_cus,Total Incoming_sell,Total Answered_sell,Number of Cases Solved_sell,Productivity_sell,CSAT_sell
Total Incoming_cus,1.0,0.9545905782526453,0.9408040304863464,0.7045743432573044,0.6209118314136399,0.8907916954254137,0.9134360676707517,0.9022132880576186,0.8090888579969376,0.1604436720927159
Total Answered_cus,0.9545905782526453,1.0,0.9881563198423237,0.8063475335672111,0.717569990390653,0.9558313926849358,0.9762043397101955,0.9383015355937656,0.8623090606736061,0.1763392267517871
Number of Cases Solved_cus,0.9408040304863464,0.9881563198423237,1.0,0.7964208346388866,0.7106242545462276,0.9333045673081339,0.9657461986137814,0.9304681100184566,0.8576437293248151,0.1606386695447387
Productivity_cus,0.7045743432573044,0.8063475335672111,0.7964208346388866,1.0,0.7992571081472183,0.737789648331686,0.7549169413814739,0.6271131052848342,0.8378059721214104,0.24424134427805272
CSAT_cus,0.6209118314136399,0.717569990390653,0.7106242545462276,0.7992571081472183,1.0,0.6737963218229674,0.6905498908483035,0.601933544482218,0.7408731337395079,-0.11490331514133482
Total Incoming_sell,0.8907916954254137,0.9558313926849358,0.9333045673081339,0.737789648331686,0.6737963218229674,1.0,0.985112065182679,0.9482163414670496,0.8553656570831663,0.1631933348648344
Total Answered_sell,0.9134360676707517,0.9762043397101955,0.9657461986137814,0.7549169413814739,0.6905498908483035,0.985112065182679,1.0,0.9644833646369197,0.8721683205241898,0.16146508691377953
Number of Cases Solved_sell,0.9022132880576186,0.9383015355937656,0.9304681100184566,0.6271131052848342,0.601933544482218,0.9482163414670496,0.9644833646369197,1.0,0.8130500398524031,0.11085364376279616
Productivity_sell,0.8090888579969376,0.8623090606736061,0.8576437293248151,0.8378059721214104,0.7408731337395079,0.8553656570831663,0.8721683205241898,0.8130500398524031,1.0,0.20298889453214858
CSAT_sell,0.1604436720927159,0.1763392267517871,0.1606386695447387,0.24424134427805272,-0.11490331514133482,0.1631933348648344,0.16146508691377953,0.11085364376279616,0.20298889453214858,1.0
